Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK,CBDK.JK
Date,,,,,,
2025-09-22,6175.0,6175.0,6200.0,6050.0,6075.0,7690000
2025-09-23,6150.0,6150.0,6300.0,6150.0,6175.0,4167100
2025-09-24,6650.0,6650.0,6775.0,6050.0,6150.0,41134800
2025-09-25,6350.0,6350.0,6650.0,6325.0,6650.0,16066000
2025-09-26,6625.0,6625.0,6725.0,6350.0,6375.0,19728900
2025-09-29,6800.0,6800.0,6975.0,6650.0,6650.0,21342300
2025-09-30,6775.0,6775.0,6950.0,6625.0,6800.0,16504000
2025-10-01,6550.0,6550.0,6850.0,6500.0,6850.0,11938000
2025-10-02,6800.0,6800.0,6825.0,6500.0,6550.0,12576500
2025-10-03,6700.0,6700.0,6850.0,6650.0,6850.0,6379100
2025-10-06,6675.0,6675.0,6825.0,6625.0,6700.0,13506100
2025-10-07,6650.0,6650.0,6775.0,6650.0,6675.0,8469300
2025-10-08,7550.0,7550.0,7575.0,6500.0,6775.0,49496800
2025-10-09,7225.0,7225.0,7900.0,6725.0,7800.0,63324900
2025-10-10,7075.0,7075.0,7325.0,7000.0,7225.0,13858700
2025-10-13,6425.0,6425.0,6975.0,6400.0,6900.0,38065400
2025-10-14,6250.0,6250.0,6625.0,6100.0,6450.0,17646100
2025-10-15,6275.0,6275.0,6400.0,6100.0,6300.0,8078700
2025-10-16,6200.0,6200.0,6325.0,6175.0,6275.0,5313000
2025-10-17,6000.0,6000.0,6300.0,5925.0,6300.0,10707100
2025-10-20,6150.0,6150.0,6225.0,6050.0,6075.0,5477700
2025-10-21,6075.0,6075.0,6225.0,6025.0,6150.0,7925300
2025-10-22,6150.0,6150.0,6275.0,6075.0,6075.0,5935000
2025-10-23,6175.0,6175.0,6225.0,6125.0,6200.0,3065100
2025-10-24,6125.0,6125.0,6200.0,6075.0,6175.0,3078800
2025-10-27,5950.0,5950.0,6225.0,5550.0,6125.0,27219100
2025-10-28,5875.0,5875.0,6000.0,5800.0,5950.0,4002900
2025-10-29,5975.0,5975.0,6025.0,5825.0,5875.0,3333700
2025-10-30,6075.0,6075.0,6075.0,5925.0,5975.0,3170300
2025-10-31,6350.0,6350.0,6425.0,6150.0,6250.0,13233100
2025-11-03,6275.0,6275.0,6375.0,6250.0,6350.0,2888200
2025-11-04,6150.0,6150.0,6275.0,6100.0,6275.0,2871900
2025-11-05,6150.0,6150.0,6200.0,6075.0,6100.0,1882100
2025-11-06,6200.0,6200.0,6300.0,6175.0,6175.0,2238400
2025-11-07,6200.0,6200.0,6300.0,6150.0,6200.0,3221400
2025-11-10,6250.0,6250.0,6375.0,6200.0,6200.0,3788400
2025-11-11,6275.0,6275.0,6350.0,6200.0,6250.0,3424200
2025-11-12,6200.0,6200.0,6325.0,6200.0,6300.0,2579100
2025-11-13,6200.0,6200.0,6225.0,6175.0,6200.0,2035800
2025-11-14,6350.0,6350.0,6600.0,6100.0,6200.0,14801100
2025-11-17,6425.0,6425.0,6750.0,6325.0,6500.0,16785400
2025-11-18,6400.0,6400.0,6550.0,6325.0,6475.0,4091000
2025-11-19,6300.0,6300.0,6475.0,6250.0,6400.0,5103400
2025-11-20,6400.0,6400.0,6525.0,6300.0,6300.0,7090200
2025-11-21,6500.0,6500.0,6600.0,6300.0,6350.0,9319100
2025-11-24,6750.0,6750.0,6825.0,6525.0,6525.0,24687100
2025-11-25,6675.0,6675.0,6825.0,6475.0,6525.0,13038300
2025-11-26,6625.0,6625.0,6750.0,6600.0,6650.0,6619200
2025-11-27,6975.0,6975.0,7100.0,6500.0,6650.0,27499200
2025-11-28,7825.0,7825.0,8075.0,7125.0,7200.0,108758300
2025-12-01,8525.0,8525.0,8775.0,7900.0,7900.0,65067000
2025-12-02,8900.0,8900.0,9325.0,8600.0,8625.0,70418200
2025-12-03,8975.0,8975.0,9100.0,8625.0,9000.0,31027000
2025-12-04,9275.0,9275.0,9450.0,8900.0,9100.0,28761900
2025-12-05,9400.0,9400.0,9775.0,9300.0,9375.0,22524000
2025-12-08,9425.0,9425.0,9550.0,9100.0,9400.0,12886200
2025-12-09,8975.0,8975.0,9600.0,8925.0,9525.0,19145400
2025-12-10,8650.0,8650.0,9050.0,7900.0,8975.0,81587000
2025-12-11,8475.0,8475.0,8825.0,8375.0,8750.0,15328700
2025-12-12,8700.0,8700.0,8950.0,8475.0,8550.0,13648800
2025-12-15,8725.0,8725.0,9175.0,8500.0,8750.0,14330400
2025-12-16,9300.0,9300.0,9400.0,8525.0,8725.0,18731300
2025-12-17,9275.0,9275.0,9650.0,9150.0,9350.0,21374100
2025-12-18,8825.0,8825.0,9375.0,8725.0,9325.0,17332400
2025-12-19,8850.0,8850.0,9000.0,8550.0,8900.0,6962300
2025-12-22,9200.0,9200.0,9400.0,8750.0,8975.0,11513200
